seed_count=256
output_dir=/workspace/plankc/rappie-sol/fuzz/seeds/plank_sol_program_diff

raw_fallback_00: buckets=[RawFallback, ShortCalldata, ReturnExit]; mode=RawFallback; entries=1; calls=1; exit=Return
combo_03: buckets=[SelectorDispatch, MultiCall, MaxCallCount, ShortCalldata, FullWidthWord, MemoryCopy, ReturnExit]; mode=SelectorDispatch; entries=4; calls=4; exit=Return
high_level_operator_00: buckets=[SelectorDispatch, MultiCall, ShortCalldata, FullWidthWord, Arithmetic, SignedArithmetic, ReturnExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HighLevelOperator, HelperFunction, Import, ImportGroup, ImportAlias, DeepImport, BinaryLiteral, HexLiteral, ParameterizedType, ComptimeControlFlow, ComptimeLoop, FunctionReturnsCompound, NestedCompound, DataOffset]; mode=SelectorDispatch; entries=2; calls=2; exit=Return
cbytes_builtin_00: buckets=[SelectorDispatch, MultiCall, ShortCalldata, FullWidthWord, MemoryWidth, ReturnExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, HighLevelOperator, CoreOpsOperator, HelperFunction, NestedHelperCall, Import, ImportSingle, ImportGroup, ImportGlob, Comments, HexLiteral, ComptimeControlFlow, TypeDependentBranch, FunctionEarlyReturn, RuntimeUninit, StdRegistered]; mode=SelectorDispatch; entries=3; calls=3; exit=Return
combo_04: buckets=[RawFallback, MultiCall, MaxCallCount, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, MemoryWidth, ExternalCode, Call, Returndata, InvalidExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, HighLevelOperator, HelperFunction, NestedHelperCall, Import, ImportGroup, ImportAlias, DeepImport, BinaryLiteral, HexLiteral, FunctionReturnsCompound, NestedCompound, RuntimeUninit, DataOffset]; mode=RawFallback; entries=1; calls=4; exit=Invalid
combo_05: buckets=[SelectorDispatch, MultiCall, MultiEntryTouched, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, SignedArithmetic, CalldataCopy, Storage, RevertExit, InvalidExit, StorageAndMultiCall, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, HighLevelOperator, CoreOpsOperator, HelperFunction, NestedHelperCall, Import, ImportGroup, ImportAlias, ImportGlob, DeepImport, Comments, BinaryLiteral, HexLiteral, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, FunctionReturnsCompound, FunctionEarlyReturn, NestedCompound, RuntimeUninit, DataOffset, StdRegistered]; mode=SelectorDispatch; entries=3; calls=3; exit=Revert
combo_06: buckets=[SelectorDispatch, MultiCall, MaxCallCount, ShortCalldata, FullWidthWord, MemoryCopy, ReturnExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, HighLevelOperator, CoreOpsOperator, HelperFunction, NestedHelperCall, Import, ImportSingle, ImportGroup, ImportAlias, ImportGlob, DeepImport, Comments, BinaryLiteral, HexLiteral, ParameterizedType, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, FunctionReturnsCompound, FunctionEarlyReturn, NestedCompound, RuntimeUninit, DataOffset, StdRegistered]; mode=SelectorDispatch; entries=4; calls=4; exit=Return
log_00: buckets=[RawFallback, ShortCalldata, FullWidthWord, Arithmetic, MemoryCopy, Storage, Call, Returndata, Log, ReturnExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, CoreOpsOperator, HelperFunction, Import, ImportSingle, ImportGroup, ImportAlias, ImportGlob, DeepImport, Comments, HexLiteral, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, NestedCompound, DataOffset, StdRegistered]; mode=RawFallback; entries=1; calls=1; exit=Return
log4_00: buckets=[RawFallback, MultiCall, MaxCallCount, ShortCalldata, FullWidthWord, ExternalCode, Call, Returndata, Log, Log4, Branch, StopExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, CBytesBuiltin, HighLevelOperator, HelperFunction, NestedHelperCall, Import, ImportGroup, ImportAlias, DeepImport, Comments, HexLiteral, ComptimeControlFlow, ComptimeLoop, FunctionReturnsCompound, FunctionEarlyReturn, NestedCompound]; mode=RawFallback; entries=1; calls=4; exit=Stop
dispatch_max_00: buckets=[SelectorDispatch, DispatchMax, MultiCall, MaxCallCount, MultiEntryTouched, ShortCalldata, FullWidthWord, Arithmetic, MemoryCopy, TransientStorage, Call, Returndata, Create2, Log, RevertExit, InvalidExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, CoreOpsOperator, HelperFunction, Import, ImportGroup, ImportAlias, ImportGlob, Comments, BinaryLiteral, HexLiteral, ParameterizedType, ComptimeControlFlow, ComptimeLoop, FunctionEarlyReturn, NestedCompound, DataOffset, StdRegistered]; mode=SelectorDispatch; entries=6; calls=4; exit=Revert
conditional_exit_00: buckets=[SelectorDispatch, ShortCalldata, FullWidthWord, Storage, TransientStorage, Call, Returndata, ConditionalExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CoreOpsOperator, HelperFunction, Import, ImportGroup, ImportAlias, Comments, BinaryLiteral, HexLiteral, ParameterizedType, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, FunctionEarlyReturn, NestedCompound, DataOffset, StdRegistered]; mode=SelectorDispatch; entries=1; calls=1; exit=ConditionalReturnRevert
create_external_code_00: buckets=[SelectorDispatch, MultiCall, MultiEntryTouched, ShortCalldata, FullWidthWord, Arithmetic, SignedArithmetic, Storage, RepeatedStorageSlot, TransientStorage, ExternalCode, Call, Create2, Log, Branch, ReturnExit, StopExit, StorageAndMultiCall, CreateAndExternalCode, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HighLevelOperator, CoreOpsOperator, HelperFunction, NestedHelperCall, Import, ImportGroup, ImportAlias, ImportGlob, DeepImport, Comments, BinaryLiteral, HexLiteral, ParameterizedType, ComptimeControlFlow, TypeDependentBranch, FunctionEarlyReturn, NestedCompound, StdRegistered]; mode=SelectorDispatch; entries=4; calls=3; exit=Return
combo_07: buckets=[SelectorDispatch, ShortCalldata, ReturnExit]; mode=SelectorDispatch; entries=5; calls=1; exit=Return
combo_08: buckets=[SelectorDispatch, DispatchMax, ShortCalldata, Arithmetic, Storage, RepeatedStorageSlot, TransientStorage, Create2, Log, RevertExit]; mode=SelectorDispatch; entries=6; calls=1; exit=Revert
combo_09: buckets=[SelectorDispatch, MultiCall, MultiEntryTouched, ShortCalldata, UnalignedCalldata, Arithmetic, MemoryCopy, CalldataCopy, ExternalCode, ReturnExit]; mode=SelectorDispatch; entries=3; calls=2; exit=Return
delegate_call_00: buckets=[SelectorDispatch, DispatchMax, MultiCall, MultiEntryTouched, ShortCalldata, FullWidthWord, MemoryWidth, MemoryCopy, Storage, TransientStorage, ExternalCode, Call, DelegateCall, Returndata, Create, Log, Log4, Loop, ReturnExit, InvalidExit, StorageAndMultiCall, CallAndReturndata, CreateAndExternalCode, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HighLevelOperator, HelperFunction, NestedHelperCall, Import, ImportGroup, ImportAlias, DeepImport, Comments, BinaryLiteral, HexLiteral, ComptimeControlFlow, TypeDependentBranch, FunctionReturnsCompound, FunctionEarlyReturn, NestedCompound]; mode=SelectorDispatch; entries=6; calls=2; exit=Return
combo_10: buckets=[SelectorDispatch, MultiCall, MaxCallCount, ShortCalldata, MemoryWidth, Storage, ExternalCode, Log, RevertExit, StorageAndMultiCall, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, HighLevelOperator, HelperFunction, Import, ImportGroup, ImportGlob, Comments, HexLiteral, NestedCompound, RuntimeUninit]; mode=SelectorDispatch; entries=1; calls=4; exit=Revert
combo_11: buckets=[SelectorDispatch, MultiCall, ShortCalldata, FullWidthWord, MemoryWidth, ReturnExit, HighLevelOperator, HelperFunction, NestedHelperCall]; mode=SelectorDispatch; entries=1; calls=2; exit=Return
combo_12: buckets=[RawFallback, ShortCalldata, FullWidthWord, Storage, Call, Returndata, Create2, ReturnExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HelperFunction, Import, ImportGroup, ImportAlias, ParameterizedType]; mode=RawFallback; entries=1; calls=1; exit=Return
combo_13: buckets=[RawFallback, MultiCall, ShortCalldata, FullWidthWord, MemoryCopy, Storage, RepeatedStorageSlot, Call, Returndata, Branch, RevertExit, StorageAndMultiCall, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HighLevelOperator, CoreOpsOperator, HelperFunction, NestedHelperCall, Import, ImportSingle, ImportGroup, ImportAlias, ImportGlob, HexLiteral, ParameterizedType, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, FunctionEarlyReturn, RuntimeUninit, StdRegistered]; mode=RawFallback; entries=1; calls=3; exit=Revert
combo_14: buckets=[SelectorDispatch, MultiCall, MultiEntryTouched, ShortCalldata, UnalignedCalldata, Arithmetic, MemoryWidth, MemoryCopy, CalldataCopy, Storage, TransientStorage, ExternalCode, Call, DelegateCall, Returndata, Create, Log, Log4, Branch, RevertExit, ConditionalExit, StopExit, StorageAndMultiCall, CallAndReturndata, CreateAndExternalCode, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CoreOpsOperator, HelperFunction, Import, ImportSingle, ImportGroup, ImportAlias, ImportGlob, Comments, ParameterizedType, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, FunctionEarlyReturn, NestedCompound, RuntimeUninit, StdRegistered]; mode=SelectorDispatch; entries=4; calls=3; exit=Revert
combo_15: buckets=[SelectorDispatch, ShortCalldata, CalldataCopy, ReturnExit, Comments]; mode=SelectorDispatch; entries=3; calls=1; exit=Return
combo_16: buckets=[RawFallback, MultiCall, ShortCalldata, FullWidthWord, Call, DelegateCall, Returndata, Create2, InvalidExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, Comments, ParameterizedType, ComptimeControlFlow, ComptimeLoop]; mode=RawFallback; entries=1; calls=3; exit=Invalid
combo_17: buckets=[SelectorDispatch, ShortCalldata, Arithmetic, MemoryCopy, TransientStorage, Log, Branch, InvalidExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, HighLevelOperator, CoreOpsOperator, HelperFunction, NestedHelperCall, Import, ImportGroup, ImportGlob, Comments, BinaryLiteral, ParameterizedType, FunctionReturnsCompound, RuntimeUninit, StdRegistered]; mode=SelectorDispatch; entries=3; calls=1; exit=Invalid
combo_18: buckets=[SelectorDispatch, ShortCalldata, FullWidthWord, Storage, TransientStorage, Call, Returndata, ConditionalExit, CallAndReturndata]; mode=SelectorDispatch; entries=1; calls=1; exit=ConditionalReturnRevert
combo_19: buckets=[SelectorDispatch, MultiCall, MaxCallCount, MultiEntryTouched, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, MemoryWidth, MemoryCopy, CalldataCopy, Storage, RepeatedStorageSlot, TransientStorage, ExternalCode, Call, DelegateCall, Returndata, Log, Log4, Branch, ReturnExit, RevertExit, ConditionalExit, InvalidExit, StorageAndMultiCall, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, CoreOpsOperator, HelperFunction, Import, ImportGroup, ImportAlias, DeepImport, HexLiteral, ParameterizedType, ComptimeControlFlow, ComptimeLoop, FunctionReturnsCompound, RuntimeUninit, DataOffset, StdRegistered]; mode=SelectorDispatch; entries=5; calls=4; exit=Return
combo_20: buckets=[RawFallback, MultiCall, MaxCallCount, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, MemoryWidth, Create2, RevertExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HelperFunction, Import, ImportGroup, Comments, ParameterizedType, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, FunctionReturnsCompound]; mode=RawFallback; entries=1; calls=4; exit=Revert
combo_21: buckets=[SelectorDispatch, ShortCalldata, MemoryCopy, Storage, RepeatedStorageSlot, TransientStorage, ReturnExit, HighLevelOperator, HelperFunction, NestedHelperCall, Comments, BinaryLiteral]; mode=SelectorDispatch; entries=3; calls=1; exit=Return
combo_22: buckets=[SelectorDispatch, DispatchMax, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, MemoryCopy, TransientStorage, ExternalCode, Call, DelegateCall, Returndata, Loop, ReturnExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, CoreOpsOperator, HelperFunction, Import, ImportGroup, Comments, BinaryLiteral, HexLiteral, ParameterizedType, ComptimeControlFlow, NestedCompound, DataOffset, StdRegistered]; mode=SelectorDispatch; entries=6; calls=1; exit=Return
combo_23: buckets=[SelectorDispatch, ShortCalldata, ReturnExit, CoreOpsOperator, StdRegistered]; mode=SelectorDispatch; entries=2; calls=1; exit=Return
combo_24: buckets=[SelectorDispatch, ShortCalldata, MemoryCopy, CalldataCopy, ReturnExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, HighLevelOperator, CoreOpsOperator, HelperFunction, NestedHelperCall, HexLiteral, StdRegistered]; mode=SelectorDispatch; entries=1; calls=1; exit=Return
combo_25: buckets=[RawFallback, MultiCall, ShortCalldata, FullWidthWord, Arithmetic, SignedArithmetic, MemoryWidth, Storage, RepeatedStorageSlot, Call, Returndata, Log, ConditionalExit, StorageAndMultiCall, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, CBytesBuiltin, HighLevelOperator, HelperFunction, Import, ImportGroup, ImportAlias, DeepImport, Comments, HexLiteral, ParameterizedType, ComptimeControlFlow, FunctionReturnsCompound, RuntimeUninit, DataOffset]; mode=RawFallback; entries=1; calls=2; exit=ConditionalReturnRevert
combo_26: buckets=[SelectorDispatch, MultiCall, MaxCallCount, MultiEntryTouched, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, MemoryWidth, Storage, RepeatedStorageSlot, TransientStorage, Call, DelegateCall, Returndata, Create2, Log, Log4, Branch, Loop, ReturnExit, ConditionalExit, StorageAndMultiCall, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, CBytesBuiltin, HelperFunction, Import, ImportGroup, ImportAlias, DeepImport, HexLiteral, ComptimeControlFlow, ComptimeLoop, NestedCompound, DataOffset]; mode=SelectorDispatch; entries=5; calls=4; exit=Return
combo_27: buckets=[RawFallback, MultiCall, ShortCalldata, Arithmetic, MemoryCopy, Storage, RepeatedStorageSlot, TransientStorage, StopExit, StorageAndMultiCall, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HighLevelOperator, CoreOpsOperator, HelperFunction, NestedHelperCall, Import, ImportGroup, ImportAlias, ComptimeControlFlow, TypeDependentBranch, StdRegistered]; mode=RawFallback; entries=1; calls=2; exit=Stop
combo_28: buckets=[RawFallback, MultiCall, ShortCalldata, UnalignedCalldata, FullWidthWord, MemoryCopy, Storage, RepeatedStorageSlot, Loop, ReturnExit, StorageAndMultiCall, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, HighLevelOperator, HelperFunction, NestedHelperCall, Import, ImportSingle, ImportGroup, ImportGlob, HexLiteral, ComptimeControlFlow, ComptimeLoop, DataOffset]; mode=RawFallback; entries=1; calls=2; exit=Return
combo_29: buckets=[SelectorDispatch, UnalignedCalldata, FullWidthWord, MemoryWidth, Storage, RepeatedStorageSlot, ConditionalExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, HexLiteral, ParameterizedType, ComptimeControlFlow, ComptimeLoop]; mode=SelectorDispatch; entries=4; calls=1; exit=ConditionalReturnRevert
combo_30: buckets=[RawFallback, ShortCalldata, UnalignedCalldata, Arithmetic, SignedArithmetic, ReturnExit]; mode=RawFallback; entries=1; calls=1; exit=Return
combo_31: buckets=[SelectorDispatch, MultiCall, MultiEntryTouched, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, MemoryWidth, MemoryCopy, CalldataCopy, Storage, ExternalCode, Branch, StopExit, InvalidExit, StorageAndMultiCall, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, HighLevelOperator, CoreOpsOperator, HelperFunction, NestedHelperCall, Comments, HexLiteral, ParameterizedType, ComptimeControlFlow, ComptimeLoop, DataOffset, StdRegistered]; mode=SelectorDispatch; entries=5; calls=2; exit=Stop
combo_32: buckets=[SelectorDispatch, MultiCall, MultiEntryTouched, ShortCalldata, FullWidthWord, Arithmetic, MemoryWidth, MemoryCopy, CalldataCopy, TransientStorage, Call, Returndata, Create, Create2, Loop, RevertExit, InvalidExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, CoreOpsOperator, HelperFunction, Import, ImportGroup, ImportAlias, ImportGlob, DeepImport, BinaryLiteral, HexLiteral, ComptimeControlFlow, TypeDependentBranch, NestedCompound, RuntimeUninit, DataOffset, StdRegistered]; mode=SelectorDispatch; entries=5; calls=3; exit=Invalid
combo_33: buckets=[SelectorDispatch, ShortCalldata, ReturnExit]; mode=SelectorDispatch; entries=1; calls=1; exit=Return
combo_34: buckets=[RawFallback, MultiCall, ShortCalldata, UnalignedCalldata, FullWidthWord, MemoryWidth, Storage, RepeatedStorageSlot, Create, Create2, Branch, InvalidExit, StorageAndMultiCall]; mode=RawFallback; entries=1; calls=2; exit=Invalid
combo_35: buckets=[RawFallback, UnalignedCalldata, FullWidthWord, MemoryCopy, Call, Returndata, ConditionalExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, HelperFunction, Import, ImportGroup, ImportAlias, HexLiteral, NestedCompound, RuntimeUninit, DataOffset]; mode=RawFallback; entries=1; calls=1; exit=ConditionalReturnRevert
combo_36: buckets=[SelectorDispatch, MultiCall, MultiEntryTouched, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, MemoryCopy, TransientStorage, ExternalCode, Call, Returndata, Create2, Log, Branch, Loop, RevertExit, ConditionalExit, CallAndReturndata, CreateAndExternalCode]; mode=SelectorDispatch; entries=3; calls=3; exit=ConditionalReturnRevert
combo_37: buckets=[SelectorDispatch, MultiCall, MaxCallCount, MultiEntryTouched, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, SignedArithmetic, CalldataCopy, Storage, RepeatedStorageSlot, Create2, RevertExit, ConditionalExit, InvalidExit, StorageAndMultiCall, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HexLiteral, ParameterizedType, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, RuntimeUninit, DataOffset]; mode=SelectorDispatch; entries=3; calls=4; exit=Revert
combo_38: buckets=[SelectorDispatch, ShortCalldata, Arithmetic, MemoryCopy, RevertExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HelperFunction, Import, ImportGroup, HexLiteral, ParameterizedType, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, FunctionReturnsCompound, DataOffset]; mode=SelectorDispatch; entries=1; calls=1; exit=Revert
combo_39: buckets=[SelectorDispatch, DispatchMax, ShortCalldata, ReturnExit]; mode=SelectorDispatch; entries=6; calls=1; exit=Return
combo_40: buckets=[RawFallback, MultiCall, ShortCalldata, FullWidthWord, MemoryWidth, Storage, RepeatedStorageSlot, Log, Log4, Branch, StopExit, StorageAndMultiCall, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CBytesBuiltin, HighLevelOperator, HexLiteral, ComptimeControlFlow, FunctionEarlyReturn, NestedCompound, DataOffset]; mode=RawFallback; entries=1; calls=3; exit=Stop
combo_41: buckets=[SelectorDispatch, UnalignedCalldata, FullWidthWord, CalldataCopy, Storage, TransientStorage, Call, Returndata, StopExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, HelperFunction, Import, ImportGroup, Comments, ComptimeControlFlow]; mode=SelectorDispatch; entries=1; calls=1; exit=Stop
combo_42: buckets=[SelectorDispatch, MultiCall, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, SignedArithmetic, ReturnExit]; mode=SelectorDispatch; entries=1; calls=3; exit=Return
combo_43: buckets=[SelectorDispatch, MultiCall, ShortCalldata, UnalignedCalldata, FullWidthWord, MemoryWidth, TransientStorage, Call, Returndata, Log, ConditionalExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HighLevelOperator, CoreOpsOperator, HelperFunction, NestedHelperCall, Import, ImportSingle, ImportGroup, ImportAlias, HexLiteral, ComptimeControlFlow, ComptimeLoop, FunctionReturnsCompound, FunctionEarlyReturn, NestedCompound, RuntimeUninit, StdRegistered]; mode=SelectorDispatch; entries=3; calls=2; exit=ConditionalReturnRevert
combo_44: buckets=[SelectorDispatch, MultiCall, MaxCallCount, MultiEntryTouched, ShortCalldata, UnalignedCalldata, FullWidthWord, MemoryWidth, MemoryCopy, Storage, RepeatedStorageSlot, TransientStorage, ExternalCode, Call, Returndata, Create, StopExit, StorageAndMultiCall, CallAndReturndata, CreateAndExternalCode, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CoreOpsOperator, HelperFunction, Import, ImportSingle, ImportGroup, ImportAlias, ImportGlob, DeepImport, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, FunctionReturnsCompound, NestedCompound, RuntimeUninit, StdRegistered]; mode=SelectorDispatch; entries=2; calls=4; exit=Stop
combo_45: buckets=[SelectorDispatch, MultiCall, MultiEntryTouched, ShortCalldata, UnalignedCalldata, Arithmetic, Storage, TransientStorage, Call, Returndata, Create, Log, ConditionalExit, InvalidExit, StorageAndMultiCall, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HelperFunction, HexLiteral, ParameterizedType, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, FunctionReturnsCompound]; mode=SelectorDispatch; entries=5; calls=2; exit=ConditionalReturnRevert
combo_46: buckets=[SelectorDispatch, ShortCalldata, Arithmetic, Storage, TransientStorage, ExternalCode, ConditionalExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, HighLevelOperator, HelperFunction, Import, ImportGroup, ImportAlias, DeepImport, HexLiteral, ComptimeControlFlow, ComptimeLoop, FunctionReturnsCompound, RuntimeUninit]; mode=SelectorDispatch; entries=5; calls=1; exit=ConditionalReturnRevert
combo_47: buckets=[RawFallback, MultiCall, ShortCalldata, UnalignedCalldata, FullWidthWord, MemoryWidth, MemoryCopy, TransientStorage, Call, Returndata, Create2, Log, RevertExit, CallAndReturndata, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, CBytesBuiltin, HighLevelOperator, CoreOpsOperator, HelperFunction, NestedHelperCall, Import, ImportSingle, ImportGroup, ImportAlias, ImportGlob, DeepImport, BinaryLiteral, HexLiteral, ComptimeControlFlow, FunctionReturnsCompound, NestedCompound, DataOffset, StdRegistered]; mode=RawFallback; entries=1; calls=3; exit=Revert
